100	14
200	35
300	72
400	124
500	188
600	264
700	358
800	459
900	613
1000	708
1100	855
1200	1014
1300	1289
1400	1367
1500	1565
1600	1776
1700	2007
1800	2239
1900	2487
2000	2688
2100	3036
2200	3330
2300	3592
2400	3899
2500	4156
2600	4516
2700	4751
2800	5111
2900	5657
3000	5839
3100	6289
3200	6847
3300	7194
3400	7858
3500	8048
3600	8734
3700	8871
3800	9510
3900	9887
4000	10795
4100	11085
4200	11448
4300	12193
4400	12684
4500	13190
4600	13763
4700	14329
4800	14900
4900	15621
5000	16313
5100	16989
5200	17675
5300	18513
5400	19250
5500	19810
5600	20466
5700	21120
5800	22026
5900	22678
6000	23367
6100	24342
6200	24890
6300	26358
6400	28012
6500	28709
6600	29759
6700	29342
6800	30836
6900	31338
7000	31743
7100	32764
7200	33828
7300	34690
7400	35527
7500	36573
7600	37422
7700	38550
7800	39414
7900	40124
8000	41404
8100	42645
8200	43303
8300	44516
8400	45666
8500	46804
8600	47982
8700	49075
8800	49987
8900	51148
9000	52616
9100	53689
9200	54923
9300	56081
9400	57158
9500	58472
9600	59859
9700	60722
9800	62033
9900	63127
10000	64672
10100	65873
10200	67337
10300	68424
10400	69298
10500	70692
10600	72433
10700	74428
10800	76109
10900	77625
11000	78871
11100	80624
11200	83569
11300	83381
11400	84795
11500	86375
11600	87652
11700	88818
11800	90117
11900	90728
12000	92268
12100	94190
12200	96406
12300	97200
12400	99189
12500	101097
12600	102790
12700	104091
12800	105431
12900	106779
13000	108553
13100	110646
13200	112177
13300	113389
13400	116167
13500	117906
13600	119109
13700	121373
13800	123558
13900	124201
14000	126252
14100	127905
14200	130532
14300	131799
14400	132652
14500	134697
14600	137078
14700	138888
14800	140768
14900	142444
15000	145007
15100	147118
15200	149286
15300	151239
15400	154195
15500	155193
15600	157164
15700	158713
15800	161082
15900	162943
16000	164950
16100	166783
16200	169624
16300	170823
16400	172405
16500	176335
16600	180060
16700	179960
16800	182086
16900	184052
17000	185841
17100	187024
17200	190692
17300	193088
17400	194840
17500	197131
17600	200005
17700	202326
17800	204682
17900	211346
18000	209557
18100	211718
18200	214073
18300	220634
